Date_Extracted,Grade_Level,Unit,Resource,Location,Instructional_Moment,Page_Numbers,Improvement_Description,Improvement_Type,Date_Updated
2025-12-06,Grade 6 Accelerated,Unit 3,Teacher Guide,"Section D, Lesson 14, Activity 2",,231,"The numbers being carried in the image are out of place in the sample student response. This has been updated to show the 13 above the 3 in the hundredths place, the 9 above the 0 in the tenths place, and the 0 above the 1 in the ones place.",,2025-08-21
2025-12-06,Grade 6 Accelerated,Unit 3,Teacher Guide,"Section B, Lesson 7, Activity 1, Problem 3",,115-116,Problem 3 should include the correct choice in the student response. C. 6⋅4÷3,,2025-08-21
2025-12-06,Grade 6 Accelerated,Unit 3,Teacher Guide,"Section B, Mid-unit Assessment, Problem 6",,141,This has been replaced in digital with the following: It takes Diego 1/24 of an hour to complete a lap on a circular bike track. The track is 1/3 mile long. What is Diego's bike speed? A. 1/8 mile per hour B 1/8 hours per mile C. 8 miles per hour D. 8 hours per mile Correct answer is C: 8 miles per hour Standard: 7.RP.A.1,,2025-09-25
2025-12-06,Grade 6 Accelerated,Unit 3,"Student Workbook, Section B, Lesson 7, Activity 1, Problem 3 And 4",,,429-430,"Problem 3 and 4 should be combined to reflect the Teacher Guide, Section B, Lesson 7, Activity 1, Problem 3. Additionally, choices B and C should be swapped; B. 6÷4÷3 C. 6⋅4÷3 .",,2025-09-10
2025-12-06,Grade 6 Accelerated,Unit 3,Teacher Guide,"Section B, Lesson 7, Activity 2, Problem 4",,118,"In the Student Task Statement, problem 4 has been updated to show A and D as the correct answers.",,2025-08-21
2025-12-06,Grade 6 Accelerated,Unit 3,Teacher Guide,"Section C, Lesson 10",,163,"The title of the lesson has been updated to reflect what is in the Student Workbook. Lesson 10 is now Rectangles and Triangles with Fractional Lengths. Additionally, the student-facing goal has been updated to ""Let's explore rectangles and triangles that have fractional measurements.""",,2025-08-21
2025-12-06,Grade 6 Accelerated,Unit 3,Teacher Guide,"Section C, Lesson 10, Activity 2",,167,Activity 2's Access for Students with Diverse Abilities has been updated to Action and Expression.,,2025-08-21
2025-12-06,Grade 6 Accelerated,Unit 3,Teacher Guide,"Section C, Lesson 11",,175,Access for Multilingual Learners MLR8: Discussion Supports has been updated to Activity 3.,,2025-08-21
2025-12-06,Grade 6 Accelerated,Unit 3,Teacher Guide,"Section D, Lesson 15, Practice Problem 3b",,254,The student sample response uses oz. as the unit of measurement. It should be kg.,,2025-09-10
2025-12-06,Grade 6 Accelerated,Unit 3,Teacher Guide,"Section B, Lesson 5, Activity 1",,80,Problem 2's sample student response has been updated for the 3rd bullet: 10 4 or 2 1 2 cups (or equivalent).,,2025-12-05
2025-12-06,Grade 6 Accelerated,Unit 4,"Teacher Course Guide, Unit Overview",,,,"There is text missing at the end of ""as well as to solve equations that are more complex."" ""In future courses"" has been added to the end.",,2025-08-21
2025-12-06,Grade 6 Accelerated,Unit 4,Teacher Guide,"Section D, Lesson 17, Cool-down",,224,The equation 13d=t has been updated to 1 3 d=t and the graph has been updated.,,2025-11-11
2025-12-06,Grade 6 Accelerated,Unit 5,Teacher Guide,"Section C, Lesson 7, Activity 1, Problem 2",,114,"The graph with the sample response in the Student Task Statement incorrectly shows the coordinate as (1, 10). This has been updated to reflect the table in Problem 1 (1, 8). This does not effect the Student Workbook.",,2025-09-23
2025-12-06,Grade 6 Accelerated,Unit 6,Teacher Guide,"Unit Overview, Unit Narrative",,2,The bottom image's equation (second line) has been updated from y=(1+ 1 4 )x to y=(1− 1 4 )x .,,2025-10-07
2025-12-06,Grade 6 Accelerated,Unit 7,Teacher Guide,"Unit Overview, Unit Narrative",,3,"The last sentence of the first paragraph on page 3 has been updated to say ""They solve linear equations of the form p+x=q or px=q , where p and q are rational numbers.""",,2025-10-07
2025-12-06,Grade 7,Unit 1,Teacher Guide,"Section B, Lesson 8",,120-125,Maps throughout the lesson have been updated to include scales.,,2024-08-28
2025-12-06,Grade 7,Unit 1,"Student Workbook, Section B, Lesson 8",,,65-67,Maps throughout the lesson have been updated to include scales.,,2025-11-18
2025-12-06,Grade 7,Unit 1,Teacher Guide,"Section B, Lesson 10, Activity 2",,149-150,Student responses are incorrectly listed as c m 2 . They have been updated to m 2,,2024-08-28
2025-12-06,Grade 7,Unit 1,Teacher Guide,"Section A, Lesson 1, Activity 2 Synthesis",,26,"The Student Response for the second question has been updated to ""One pair of side can't be enough to tell that polygons are not scaled copies; all pairs of sides need to be checked to make sure a polygon is a scaled copy.""",,2025-08-19
2025-12-06,Grade 7,Unit 1,Teacher Guide,"Section A, Lesson 4, Activity 2",,65,"The Student Response for question 5 has been updated to say "" AB and EF are related by a scale factor of 2 3 , but DC and HG are related by a scale factor of 1 2 .",,2025-08-19
2025-12-06,Grade 7,Unit 1,Teacher Guide,"End-of-unit Assessment (b), Question 6",,195,"Question 6 Student Response has been updated for bullet 2, to replace California with San Francisco, to provide clarity and match the first bullet in the Student Response.",,2025-08-19
2025-12-06,Grade 7,Unit 1,"Student Workbook, Section A, Lesson 4, Practice Problem 1",,,34,"Option F has been updated to say ""Q has 2 acute angles and 2 obtuse angles.""",,2025-08-28
2025-12-06,Grade 7,Unit 1,Teacher Guide,"Section A, Lesson 4, Practice Problem 1",,71,"Option F has been updated to say ""Q has 2 acute angles and 2 obtuse angles.""",,2025-08-28
2025-12-06,Grade 7,Unit 1,Teacher Guide,"Section A, Lesson 4, Warm-up, Student Task Statement",,60,Questions 1 and 2 do not pertain to this activity. They have been removed from digital.,,2025-09-02
2025-12-06,Grade 7,Unit 1,"Student Workbook, Section A, Lesson 4, Warm-up",,,28,Questions 1 and 2 do not pertain to this activity. They have been removed from digital.,,2025-09-02
2025-12-06,Grade 7,Unit 2,Teacher Guide,"Section A, Lesson 3 Practice Problem 6",,64,The image of Picture M in Practice 6 was updated so the inner oval is 4 units across.,,2024-10-01
2025-12-06,Grade 7,Unit 2,Teacher Guide,"Section B, Lesson 4, Warm-up",,70,Option B in the Which Three Go Together? was changed to 4⋅?=20 .,,2024-06-13
2025-12-06,Grade 7,Unit 2,Teacher Guide,"Section D, Lesson 10, Activity 1, Problem 2",,152,"The graph in problem 2 should have the first point at (1, 8), not (1, 10).",,2025-09-08
2025-12-06,Grade 7,Unit 2,Teacher Guide,"Section A, Lesson 2, Activity 2",,45,"The table has been updated in the Student Task Statement for coconut milk. It now says milliliters, instead of millimeters.",,2025-11-19
2025-12-06,Grade 7,Unit 2,"Student Workbook, Section A, Lesson 2, Activity 2",,,115,"The table has been updated in the Student Task Statement for coconut milk. It now says milliliters, instead of millimeters.",,2025-11-19
2025-12-06,Grade 7,Unit 3,Teacher Guide,"Section B, Lesson 7, Practice Problems, Problem 4a",,120,"The solution for Problem 4a was corrected to use the diameter of 13 cm. The student response should read 6.5cm , because 13÷2=6.5 .",,2024-08-30
2025-12-06,Grade 7,Unit 3,Teacher Guide,"Section B, Lesson 9, Practice Problems, Problem 1b",,145,The solution for 1b was corrected to 192π .,,2024-08-30
2025-12-06,Grade 7,Unit 3,"Student Workbook, Section A, Lesson 1, Activity 1",,,220,The BLM has been updated to reflect the measurements listed in the Teacher Guide.,,2025-12-05
2025-12-06,Grade 7,Unit 4,Teacher Guide,"Section C, Lesson 10, Practice Problem 7",,,"The student response in the table for Practice Problem 7 for the bottle cap with a radius of 13mm, should show a circumference rounded to the nearest tenth as 81.7 mm, not 82 mm.",,2025-08-21
2025-12-06,Grade 7,Unit 4,"Student Workbook, Section B, Lesson 6, Practice Problems, Problem 1",,,46,The student responses have been removed.,,2025-09-22
2025-12-06,Grade 7,Unit 4,"Student Workbook, Section C, Lesson 14, Practice Problems, Problem 6",,,109,The student responses have been removed.,,2025-09-22
2025-12-06,Grade 7,Unit 4,"Student Workbook, Section C, Lesson 11, Lesson Summary",,,86,"In the ""goes to"" column, gratuity (tip) should go to the server, interest should go to the lender (or account holder). Add a row between interest and markdown: markup (goes to) the seller (how it works) added to the price of an item so the seller can make a profit",,2025-09-22
2025-12-06,Grade 7,Unit 4,Teacher Guide,"Section B, Lesson 6, Activity 1",,83,The Activity Synthesis has been updated to say “Tell students that the change in the shampoo bottle…”,,2025-12-04
2025-12-06,Grade 7,Unit 5,Teacher Guide,"End-of-unit Assessment (option A), Problem 1",,216,"Swapped answer options B and D, which now reads B. -5/2 + 7/2 is negative. D. (-3.7) + (-4.1) is positive; Updated Narrative to match changes. Students who select choice B may have misunderstood the problems as -5/2 - 7/2; Students who select choice D may have misread the problem as (-3.7) - (-4.1).",,2025-08-04
2025-12-06,Grade 7,Unit 5,Teacher Guide,"Section C, Lesson 15, Activity 3, Launch",,190,"The last sentence has been corrected to say ""If x⋅y=1 , then x and y are multiplicative inverses.""",,2025-09-22
2025-12-06,Grade 7,Unit 5,"Student Workbook, Section A, Lesson 3, Activity 1, Problem 1a",,,148,"In the table, Row B has been updated to 150, instead of 1150.",,2025-09-22
2025-12-06,Grade 7,Unit 5,Teacher Guide,"Section A, Lesson 4, Activity 2, Problem 3",,57,"In the sample response, the second instance of ""withdrawals"" has been replaced with ""deposits"". ""...and deposits would be represented with negative numbers.""",,2025-09-22
2025-12-06,Grade 7,Unit 5,Teacher Guide,"End-of-unit Assessment (option B), Problem 6",,222,Problem 6c references transaction 3. It has been updated to reference transaction 2.,,2025-09-22
2025-12-06,Grade 7,Unit 5,"Student Workbook, Section B, Lesson 10, Activity 3",,,220,"In column A, the last row has been updated to −10⋅(3.2)⋅(-7.3) .",,2025-09-22
2025-12-06,Grade 7,Unit 6,"Student Workbook, Section B, Lesson 7, Activity 2",,,324,"In Diagram D, the last square on the hanger has been updated to 3 2 , instead of 2 3 .",,2025-10-02
2025-12-06,Grade 7,Unit 6,Teacher Guide,"Section B, Lesson 7, Activity 2",,82,"In Diagram D, the last square on the hanger has been updated to 3 2 , instead of 2 3 . Student response for D is correct.",,2025-10-02
2025-12-06,Grade 7,Unit 6,Teacher Guide,"Section B, Lesson 7, Activity 1",,80,"The student responses for Problem 1a-d have been updated in the teacher notes to reduce confusion. The answer for 1b is Diagram C, and the equation has been updated to 3x+2=3 .",,2025-10-02
2025-12-06,Grade 7,Unit 6,"Student Workbook, Section E, Lesson 22, Activity 2",,,431,"The image of the coupon has been updated to say $30 off, not 30% off.",,2025-10-02
2025-12-06,Grade 7,Unit 6,Teacher Guide,"Section E, Lesson 22, Activity 2",,253,"The image of the coupon has been updated to say $30 off, not 30% off.",,2025-10-02
2025-12-06,Grade 7,Unit 6,Teacher Guide,"Section D, Lesson 21, Lesson Summary",,241,"In the Lesson Summary, the first bullet has been updated to (6-1)x. The second sentence has also removed the extra ""as"".",,2025-10-07
2025-12-06,Grade 7,Unit 6,"Student Workbook, Section D, Lesson 21, Lesson Summary",,,426,"In the Lesson Summary, the first bullet has been updated to (6-1)x. The second sentence has also removed the extra ""as"".",,2025-10-07
2025-12-06,Grade 7,Unit 6,Teacher Guide,"Section B, Lesson 9, Warm-up",,101,"The last bullet for the student response in the Student Task Statement has been updated to say ""B, C, and D go together because they all have the total on the right side of the equal sign."" The mention of all being negative has been removed.",,2025-10-07
2025-12-06,Grade 7,Unit 7,Teacher Guide,Glossary,,249,"Revised the definition of cross section: A cross section is the two-dimensional figure that is formed when a three-dimensional figure is sliced by a plane. For example, if a rectangular pyramid is sliced by a plane parallel to the base, the cross section is a rectangle.",,2025-06-13
2025-12-06,Grade 7,Unit 7,"Student Workbook, Section A, Lesson 5, Activity 1",,,36,Problem 1: Elena's equation has been updated to x=35 .,,2025-10-08
2025-12-06,Grade 7,Unit 8,Teacher Guide,End-of-unit Assessment,,290,Problem 3 has been updated to include standard 7.SP.A.2.,,2025-10-29
2025-12-06,Grade 7 Accelerated,Unit 1,Teacher Guide,Section D Lesson 11 Activity 1,,173,"In the Sample response for #5, it says ""by S45 degrees""; this has been updated to say ""S by 45 degrees.""",,2025-07-30
2025-12-06,Grade 7 Accelerated,Unit 1,Teacher Guide,"Section E Checkpoint, Problem 2",,234,"The Student Response for Problem 2 incorrectly compares 2-inch and 3-inch sides of the triangle. 3-inch has been updated to 5-inch. ""If one of them drew the 30° angle between the 2-inch and 5-inch sides, that would be a different triangle than if the other had put the 30° angle adjacent to one of the sides but not between them.""",,2025-08-19
2025-12-06,Grade 7 Accelerated,Unit 1,"Student Workbook, Section B, Lesson 7, Practice Problem 2",,,59,The student answer is printed in the workbook. The blue triangles showing different rotations shouldn't be there.,,2025-09-10
2025-12-06,Grade 7 Accelerated,Unit 1,Teacher Guide,"Section A, Lesson 5, Cool-down",,81,"The second bullet of the Student Task Statement has been updated to ""Triangle T is translated 1 unit to the left.""",,2025-10-06
2025-12-06,Grade 7 Accelerated,Unit 2,Teacher Guide,"Section C, Lesson 8",,150,The Building On standard 7.G.A has been updated to 7.G.A.1,,2025-08-20
2025-12-06,Grade 7 Accelerated,Unit 2,Teacher Guide,"Section A, Lesson 1",,30,"In the Student Task Statement, the student response for problem 2 should say ""In Drawing 7, it is 12 units tall and 6 units wide.""",,2025-08-20
2025-12-06,Grade 7 Accelerated,Unit 2,"Teacher Course Guide, Unit 2",,,,Lesson 1 and 2 and incorrectly titled. It has been updated to Lesson 1: What Are Scaled Copies? and Lesson 2: Scale Factors and Making Scaled Copies.,,2025-08-20
2025-12-06,Grade 7 Accelerated,Unit 3,Teacher Guide,"Section C, Lesson 14 , Warm-up",,167,"In the Activity Synthesis for the Warm-up, the sentence ""The key distinction..."" is missing the < and > symbols. This has been updated. ""The key distinction is that ≥ and ≤ inequalities are considered true when both sides are equal, whereas < and > inequalities are considered false when both sides are equal.""",,2025-08-21
2025-12-06,Grade 7 Accelerated,Unit 3,Teacher Guide,"Section C, Lesson 13",,153,"The lesson timeline has been updated to 25 minutes for Activity 1, not 15 minutes.",,2025-08-21
2025-12-06,Grade 7 Accelerated,Unit 3,Teacher Guide,"Section C, Lesson 13, Activity 1",,156,The student response for the Twirl-O-Coaster should have a red arrow extending to the right on the number line.,,2025-08-21
2025-12-06,Grade 7 Accelerated,Unit 3,"Student Workbook, Section B, Lesson 8, Activity 1",,,384,Equation 4 has been changed to 2x+−3=−23 from 2x+−3=23 .,,2025-11-17
2025-12-06,Grade 7 Accelerated,Unit 3,"Student Workbook, Section A, Lesson 3, Activity 1",,,345,"The labeling for the tape diagram has been changed from '1 to 5' to 'A to E', and the labeling for the equations has been removed.",,2025-11-24
2025-12-06,Grade 7 Accelerated,Unit 3,Teacher Guide,"Section A, Lesson 3, Activity 1",,43,"The labeling for the tape diagram has been updated to 'A to E', but the labeling for the equations should be removed and replaced with bullet points.",,2025-11-24
2025-12-06,Grade 7 Accelerated,Unit 4,"Student Workbook, Section A, Lesson 3, Practice Problems, Problem 4",,,26,The problem stem has been updated to 10−3w .,,2025-08-21
2025-12-06,Grade 7 Accelerated,Unit 4,"Student Workbook, Section B, Lesson 6, Warm-up",,,44,"Remove the letter ""A"" from the list of hangers in the first sentence. The new sentence reads ""Figures B, C, and D show the result of simplifying the hanger in Figure A by removing equal weights from each side.""",,2025-08-21
2025-12-06,Grade 7 Accelerated,Unit 4,Teacher Guide,Unit Materials,,6,"Unit materials have been updated for: Lesson 6: Matching Equation Moves Cards (1 copy for every 2 students) Activity 1, Lesson 8: Trading Moves Cards (1 copy for every 2 students) Activity 2, Lesson 11: Solutions Cards (1 copy for every 3 students) Activity 2",,2025-08-21
2025-12-06,Grade 7 Accelerated,Unit 4,"Student Workbook, Section A, Lesson 2, Activity 1",,,14,"The row with empty cells just below the expression −4(2w−5z) have been removed, so that there are a total 10 empty cells throughout the table, instead of 12.",,2025-12-03
2025-12-06,Grade 7 Accelerated,Unit 5,Teacher Guide,Unit Materials,,11-12,The list of Unit Materials have been updated.,,2025-09-23
2025-12-06,Grade 7 Accelerated,Unit 7,"Student Workbook, Section B, Lesson 7, Practice Problems, Problem 4",,,51,"The questions are mislabeled. e."" A customer wants to buy 5 pounds of cheese..."" f. ""How many pounds would a customer need...""",,2025-10-07
2025-12-06,Grade 7 Accelerated,Unit 7,"Student Workbook, Section B, Lesson 4, Practice Problems, Problem 4",,,31,"The first two situations have been updated to: a. A dump truck is hauling loads of dirt to a construction site. After 20 loads, there are 70 square feet of dirt. b. I am making a water and salt mixture that has 2 cups of salt for every 6 cups of water.",,2025-10-07
2025-12-06,Grade 8,Unit 1,Teacher Guide,"Section A, Lesson 6, Cool-down",,87,"The second bullet was updated to ""Triangle T is translated 1 unit to the left.""",,2024-08-29
2025-12-06,Grade 8,Unit 1,Teacher Guide,"Mid-unit-assessment, Option B, Problem 2",,148,The choices for problem 2 were updated to accurately reflect the answer key.,,2024-09-24
2025-12-06,Grade 8,Unit 1,Teacher Guide,"Mid-unit Assessment, Option A, Problem 3",,140,Problem 3 has been updated to reflect the standards 8.G.A.1.a and 8.G.A.1.b,,2025-09-02
2025-12-06,Grade 8,Unit 1,Teacher Guide,"Section A, Lesson 1, Warm-up, Option B",,21,"Option B should be a right angle, not acute.",,2025-09-02
2025-12-06,Grade 8,Unit 1,"Student Workbook, Section A, Lesson 1, Warm-up, Option B",,,4,"Option B should be a right angle, not acute.",,2025-09-02
2025-12-06,Grade 8,Unit 1,Teacher Guide,"Section A, Lesson 5, Activity 1, Problem 1",,70,"Problem 1 should include the coordinates to find point E at (0, 3).",,2025-09-02
2025-12-06,Grade 8,Unit 1,"Student Workbook, Section A, Lesson 5, Activity 1, Problem 1",,,32,"Problem 1 should include the coordinates to find point E at (0, 3).",,2025-09-02
2025-12-06,Grade 8,Unit 1,Teacher Guide,"Section A, Checkpoint, Problem 2",,17,"The dilation shown has been updated so z ′ is located at (6,−8) .",,2025-09-08
2025-12-06,Grade 8,Unit 1,Teacher Guide,"Section C, Lesson 11, Activity 1",,160,"The first bullet in the sample response has been updated to say ""They are the same,"" instead of ""They are not the same.""",,2025-11-11
2025-12-06,Grade 8,Unit 1,Teacher Guide,End-of-unit Assessment,,256,The sample response has been updated to reflect the correct units of translation.,,2025-11-12
2025-12-06,Grade 8,Unit 1,Teacher Guide,"End-of-unit Assessment (option B), Problem 4",,262,The graph has been updated to include line ℓ .,,2025-11-12
2025-12-06,Grade 8,Unit 1,Teacher Guide,"End-of-unit Assessment (option B), Problem 5",,263,"In the first pair of shapes, figure B has been updated so it is no longer congruent to figure A.",,2025-11-12
2025-12-06,Grade 8,Unit 2,Teacher Guide,"Section A, Lesson 3",,43,The lesson timeline is incorrect. Activity 2 has been updated to 20 minutes.,,2025-08-20
2025-12-06,Grade 8,Unit 2,Teacher Guide,"Section A, Lesson 5, Cool-down",,74,"The Cool-down has been updated to have an unlabeled point at (3, 0).",,2025-11-12
2025-12-06,Grade 8,Unit 2,Teacher Guide,"Section B, Lesson 7",,97,The lesson timeline is incorrect. The Warm-up has been updated to 5 minutes.,,2025-08-20
2025-12-06,Grade 8,Unit 2,Teacher Guide,"Section B, Lesson 8",,109,"The lesson timeline is incorrect. The Warm-up has been updated to 5 minutes, Activity 1 to 30 minutes, and Activity 2 to 10 minutes.",,2025-08-20
2025-12-06,Grade 8,Unit 2,Teacher Guide,"Section C, Lesson 10",,138,The lesson timeline is incorrect. The Warm-up has been updated to 10 minutes.,,2025-08-20
2025-12-06,Grade 8,Unit 2,Teacher Guide,"Section C, Lesson 11",,149,"The lesson timeline is incorrect. The Warm-up has been updated to 10 minutes, Activity 1 to 15 minutes, and Activity 2 to 10 minutes.",,2025-08-20
2025-12-06,Grade 8,Unit 2,Teacher Guide,"Section C, Lesson 12",,163,The lesson timeline is incorrect. Activity 1 has been updated to 15 minutes.,,2025-08-20
2025-12-06,Grade 8,Unit 2,Teacher Guide,"Section B, Lesson 6, Practice Problem 3",,96,"The image in Practice Problem 3 is mislabeled, and B' should be C'.",,2025-09-08
2025-12-06,Grade 8,Unit 2,"Student Workbook, Section C, Lesson 11, Warm-up, Figure E",,,229,Figure E has been updated to a slope of 1/4.,,2025-09-08
2025-12-06,Grade 8,Unit 2,Teacher Guide,"Section C, Lesson 11, Warm-up, Figure E",,150,Figure E has been updated to a slope of 1/4.,,2025-09-08
2025-12-06,Grade 8,Unit 2,Teacher Guide,"Section A, Lesson 5, Cool-down",,74,"The Cool-down has been updated to have an unlabeled point at (3, 0).",,2025-11-12
2025-12-06,Grade 8,Unit 2,Teacher Guide,"Section A, Lesson 4, Activity 2",,59,"In the Are You Ready for More? activity, the green circle in the sample student response has been adjusted to be centered on (6,0) and have a radius of 6, so it passes through the following points: (0,0), (6,6), (12,0), (6,-6).",,2025-11-19
2025-12-06,Grade 8,Unit 3,Teacher Guide,"Section B, Lesson 7, Lesson Overview",,85,"For Required Preparation, Activity 2 has been updated to Activity 1.",,2025-08-21
2025-12-06,Grade 8,Unit 3,Teacher Guide,Unit-at-a-glance,,5,"The Section B Learning Goals have been updated to include the y in y -intercept. ""Interpret the slope and y-intercept of the graph of a line in context.""",,2025-08-21
2025-12-06,Grade 8,Unit 3,Teacher Guide,"Ca Section C, Lesson 11, Cool-down",,146,The standard CCSS 8.EE.6 has been updated to 8.EE.6.,,2025-08-21
2025-12-06,Grade 8,Unit 3,Teacher Guide,"Section A, Lesson 2, Warm-up",,30,"The second graph has been updated so the x -axis counts by 10's to 60, so the point has a coordinate of (40, 70).",,2025-09-11
2025-12-06,Grade 8,Unit 3,"Student Workbook, Section A, Lesson 2, Warm-up",,,258,"The second graph has been updated so the x -axis counts by 10's to 60, so the point has a coordinate of (40, 70).",,2025-09-11
2025-12-06,Grade 8,Unit 3,Teacher Guide,"Section A, Lesson 1, Activity 1",,21,"In the diagram for 4 seconds the antennae of the ant are at 13, but should be at 12. In the diagram for 6 seconds, the antennae of the ant are past 18 but should be at 18.",,2025-09-12
2025-12-06,Grade 8,Unit 3,"Student Workbook, Section A, Lesson 1, Activity 1",,,253,"In the diagram for 4 seconds the antennae of the ant are at 13, but should be at 12. In the diagram for 6 seconds, the antennae of the ant are past 18 but should be at 18.",,2025-09-12
2025-12-06,Grade 8,Unit 3,Teacher Guide,"Section A, Lesson 3, Practice Problems, Problem 1b",,48,"The second row of the table, second column has been updated to 100, instead of 120.",,2025-09-12
2025-12-06,Grade 8,Unit 3,"Student Workbook, Section A, Lesson 3, Practice Problems, Problem 1b",,,268,"The second row of the table, second column has been updated to 100, instead of 120.",,2025-09-12
2025-12-06,Grade 8,Unit 3,Teacher Guide,"Section A, Lesson 1, Lesson Synthesis",,25,The graphs have been updated to show that the distance label is on the axes that are scaled by 1.,,2025-09-12
2025-12-06,Grade 8,Unit 3,Teacher Guide,"End-of-unit Assessment, Option A, Problem 5",,196,"For Runner #2, the bulleted statement below the table should read ""The equation that relates Runner #2's distance (in meters) with time (in seconds) is d=6.5t .",,2025-09-12
2025-12-06,Grade 8,Unit 3,Teacher Guide,"Section C, Lesson 10, Practice Problems, Problem 1b",,132,"The graph has been updated so the point reads (1, 1), not (-1, -1).",,2025-09-12
2025-12-06,Grade 8,Unit 3,"Student Workbook, Section C, Lesson 10, Practice Problems, Problem 1b",,,322,"The graph has been updated so the point reads (1, 1), not (-1, -1).",,2025-09-12
2025-12-06,Grade 8,Unit 3,Teacher Guide,"Section A, Lesson 3, Practice Problems, Problem 1",,48,"The graph has been updated so the line passes precisely through (20, 60).",,2025-09-12
2025-12-06,Grade 8,Unit 3,"Student Workbook, Section A, Lesson 3, Practice Problems, Problem 1",,,268,"The graph has been updated so the line passes precisely through (20, 60).",,2025-09-12
2025-12-06,Grade 8,Unit 3,Teacher Guide,"End-of-unit Assessment, Option A, Problem 3",,194,"Problem 3 is missing the narrative. It should say ""Students interpret proportional relationships from given lines. They must identify the slope of the lines as the unit rate and also quantitatively compare these unit rates in the absence of a given scale on the axes. Students who select A instead of B may be associating the slope with the amount of money earned per hour, but the axes do not reflect this. Students who select C have misinterpreted the meaning of the slope of each line. Students who select D may not understand what earning twice as much per hour means.""",,2025-09-12
2025-12-06,Grade 8,Unit 3,Teacher Guide,"Section B, Lesson 7, Cool-down",,93,"In problem 1, the student response has been updated to ""...slope of 7, 7 gallons every minute...""",,2025-11-21
2025-12-06,Grade 8,Unit 3,Teacher Guide,"Section B, Lesson 6, Practice Problems",,84,"In problem 3, table titles have been swapped (flour, then water). Student responses have been updated for 3a (Recipe 2 needs 15 cups flour) and 3b (Recipe 2 needs 2 cups water).",,2025-12-05
2025-12-06,Grade 8,Unit 4,Teacher Guide,"End-of-unit Assessment (option A), Problem 3",,196,The choice for option A was updated so that this choice is incorrect.,,2025-01-10
2025-12-06,Grade 8,Unit 4,Teacher Guide,"Section A, Lesson 5, Activity 1, Synthesis",,63,"In the narrative, the expression 2(x+7) has been updated to match the Student Task, It is now 2(d+7) . The sample response has also been updated from ""...the final value for x ."" to ""...the final value for the variable.""",,2025-09-23
2025-12-06,Grade 8,Unit 5,"Student Workbook, Section B, Lesson 7, Activity 1",,,163,"The table has been updated so the amounts in row h (hours) are 1, 2, 3, 4, 5, 6.",,2025-09-23
2025-12-06,Grade 8,Unit 5,Teacher Guide,"End-of-unit Assessment (option B), Problem 3",,315,"The graph has been updated so the x -axis is marked 1 and 2, not 2 and 3.",,2025-09-23
2025-12-06,Grade 8,Unit 5,"Student Workbook, Section B, Lesson 4, Practice Problems, Problem 3",,,146,"In the table, the value of s corresponding to m=–2 , previously shown as 2.0, has been removed.",,2025-11-14
2025-12-06,Grade 8,Unit 5,Teacher Guide,"Section A, Lesson 2, Practice Problem, Problem 1",,40,The rule 1 answer has been updated to -13 instead of 13.,,2025-11-21
2025-12-06,Grade 8,Unit 5,Teacher Guide,"Mid-unit Assessment (b), Problem 7",,160,"Standards have been added to Problem 7: Addressing 8.EE.C, 8.F.A.2, 8.F.B.4",,2025-12-04
2025-12-06,Grade 8,Unit 7,"Student Workbook, Section A, Lesson 5, Activity 2, Problem 3a",,,33,"In the right column, second row from the top, the expression has been updated to ( 1 10 ⋅ 1 10 ⋅ 1 10 ⋅ 1 10 )⋅( 1 10 ⋅ 1 10 ⋅ 1 10 ) .",,2025-10-07
2025-12-06,Grade 8,Unit 7,Teacher Guide,"Section B, Lesson 8, Practice Problems, Problem 4",,94,"The graph has been updated so line k starts at (1,0) and passes through (11,50) .",,2025-10-07
2025-12-06,Grade 8,Unit 7,"Student Workbook, Section B, Lesson 8, Practice Problems, Problem 4",,,55,"The graph has been updated so line k starts at (1,0) and passes through (11,50) .",,2025-10-07
2025-12-06,Grade 8,Unit 8,Teacher Guide,Unit Materials,,6,All unit activities and materials listed in Unit Materials and under Required Materials on each lesson intro page should be adjusted down by 1 number: (e.g. Activity 3 is now Activity 2) This does NOT apply to the lesson timeline at the bottom of the first page of each lesson. Digital pages are correct.,,2025-09-02
2025-12-06,Grade 8,Unit 8,Teacher Guide,"Section A, Lesson 1, Required Materials",,20,Materials to Copy: Making Squares Cutouts are listed as Activity 2. This has been updated to Activity 1. This also applies to the Unit Materials page.,,2025-09-02
2025-12-06,Grade 8,Unit 8,Teacher Guide,"Section B, Lesson 8, Required Materials",,98,Materials to Copy: A Transformational Proof Cutouts are listed as Activity 4. There is no Activity 4. This has been updated to Activity 3. This also applies to the Unit Materials page.,,2025-09-02
2025-12-06,Grade 8,Unit 8,Teacher Guide,"Section B, Lesson 12, Required Materials",,140,Materials to Gather and Materials to Copy: Pythagorean Theorem Cards are listed as Activity 2. There is no Activity 2. This has been updated to Activity 1. This also applies to the Unit Materials page. The Math Community Chart should be listed as Activity 1.,,2025-09-02
2025-12-06,Grade 8,Unit 8,Teacher Guide,"Section B, Lesson 13, Activity 1",,152,The student response 1 – √ 040 has been updated to 1 – √ 044 .,,2025-10-07
2025-12-06,Grade 8,Unit 8,Teacher Guide,"Section C, Lesson 14, Required Materials",,163,Materials to Gather and Materials to Copy: Rooted in the Number Line Cards are listed as Activity 3. There is no Activity 3. This has been updated to Activity 2. This also applies to the Unit Materials page. The Math Community Chart should be listed as Activity 2.,,2025-09-02
